SiteID,WetlandType,MosquitoRank,CattailMosquito,CulexFound,TreatedBy,Date,Wetness,Action,DipCount,Material
191031N011,8.2,GREEN,No,Yes,Ground,09/12/2024,0.95,Inspect for Cattail Mosq.,0.1,
191031N011,8.2,GREEN,No,Yes,Ground,07/30/2024,0.95,Treat (by Ground),,Methoprene granules
191031N011,8.2,GREEN,No,Yes,Ground,07/01/2024,0.95,Treat (by Ground),,Methoprene granules
191031N011,8.2,GREEN,No,Yes,Ground,05/20/2024,0.95,Treat (by Ground),,Methoprene granules
191031N011,8.2,GREEN,No,Yes,Ground,04/17/2024,0.95,Inspect+Treat (Ground),0.8,Methoprene granules
191031N011,8.2,GREEN,No,Yes,Ground,09/14/2023,0.65,Inspect for Cattail Mosq.,0.3,
191031N011,8.2,GREEN,No,Yes,Ground,09/11/2023,0.45,Inspect for Cattail Mosq.,0,
191031N011,8.2,GREEN,No,Yes,Ground,08/17/2023,0.85,Treat (by Ground),,Methoprene granules
191031N011,8.2,GREEN,No,Yes,Ground,07/20/2023,0.75,Treat (by Ground),,Methoprene granules
191031N011,8.2,GREEN,No,Yes,Ground,06/23/2023,0.85,Treat (by Ground),,Methoprene granules
191031N011,8.2,GREEN,No,Yes,Ground,05/22/2023,0.95,Inspect+Treat (Ground),0,Methoprene granules
191031N011,8.2,GREEN,No,Yes,Ground,09/20/2022,0.55,Inspect for Cattail Mosq.,0.1,
191031N011,8.2,GREEN,No,Yes,Ground,09/14/2022,0.85,Inspect for Cattail Mosq.,0,
191031N011,8.2,GREEN,No,Yes,Ground,08/19/2022,0.95,Treat (by Ground),,Methoprene granules
191031N011,8.2,GREEN,No,Yes,Ground,07/19/2022,0.95,Treat (by Ground),,Methoprene granules
191031N011,8.2,GREEN,No,Yes,Ground,06/21/2022,0.95,Treat (by Ground),,Methoprene granules
191031N011,8.2,GREEN,No,Yes,Ground,05/23/2022,0.95,Treat (by Ground),,Methoprene granules
191031N011,8.2,GREEN,No,Yes,Ground,04/20/2022,0.95,Inspect+Treat (Ground),0,Spinosad granules
191031N011,8.2,GREEN,No,Yes,Ground,09/08/2021,0.65,Inspect for Cattail Mosq.,0,
191031N011,8.2,GREEN,No,Yes,Ground,08/18/2021,0.75,Treat (by Ground),,Methoprene granules
191031N011,8.2,GREEN,No,Yes,Ground,03/01/2016,,Treat (by Ground),,Methoprene briquet
191031N011,8.2,GREEN,No,Yes,Ground,10/01/2015,0.95,Inspect for Cattail Mosq.,4,
191031N011,8.2,GREEN,No,Yes,Ground,05/13/2015,0.95,Inspect for Ground trt.,0,
191031N011,8.2,GREEN,No,Yes,Ground,04/16/2015,0.95,Inspect for Ground trt.,5,
191031N011,8.2,GREEN,No,Yes,Ground,03/11/2015,,Treat (by Ground),,Methoprene briquet
191031N011,8.2,GREEN,No,Yes,Ground,09/25/2014,0.95,Inspect for Cattail Mosq.,0.8,
191031N011,8.2,GREEN,No,Yes,Ground,04/09/2014,,Treat (by Ground),0,Methoprene briquet
191031N011,8.2,GREEN,No,Yes,Ground,09/16/2013,0.95,Inspect for Cattail Mosq.,0.1,
191031N011,8.2,GREEN,No,Yes,Ground,04/15/2013,0.95,Treat (by Ground),0,Methoprene briquet
191031N011,8.2,GREEN,No,Yes,Ground,08/31/2012,0.95,Inspect for Cattail Mosq.,0.6,
191031N011,8.2,GREEN,No,Yes,Ground,03/06/2012,0.65,Treat (by Ground),0,Methoprene briquet
191031N011,8.2,GREEN,No,Yes,Ground,02/27/2012,,Mapping,0,
191031N011,8.2,GREEN,No,Yes,Ground,09/20/2011,0.85,Inspect for Cattail Mosq.,2,
191031N011,8.2,GREEN,No,Yes,Ground,03/24/2011,,Treat (by Ground),0,Methoprene briquet
191031N011,8.2,GREEN,No,Yes,Ground,09/16/2010,0.95,Inspect for Cattail Mosq.,0.5,
191031N011,8.2,GREEN,No,Yes,Ground,06/25/2010,0.55,Treat (by Ground),0,Methoprene pellets
191031N011,8.2,GREEN,No,Yes,Ground,03/16/2010,,Treat (by Ground),0,Methoprene briquet
191031N011,8.2,GREEN,No,Yes,Ground,09/21/2009,0.75,Inspect for Cattail Mosq.,2,
191031N011,8.2,GREEN,No,Yes,Ground,08/13/2009,0.85,Inspect+Treat (Ground),10,Bti granules
191031N011,8.2,GREEN,No,Yes,Ground,08/13/2009,0.85,Treat (by Ground),0,Methoprene pellets
191031N011,8.2,GREEN,No,Yes,Ground,03/13/2009,,Treat (by Ground),0,Methoprene briquet
191031N011,8.2,GREEN,No,Yes,Ground,09/10/2008,0.95,Inspect for Cattail Mosq.,2,
191031N011,8.2,GREEN,No,Yes,Ground,08/11/2008,0.95,Inspect+Treat (Ground),0,Methoprene pellets
191031N011,8.2,GREEN,No,Yes,Ground,10/01/2007,0.95,Inspect for Cattail Mosq.,2.5,
191031N011,8.2,GREEN,No,Yes,Ground,09/25/2007,0.95,Inspect for Ground trt.,0.1,
191031N011,8.2,GREEN,No,Yes,Ground,09/11/2007,0.85,Inspect for Ground trt.,0,
191031N011,8.2,GREEN,No,Yes,Ground,08/16/2007,0.85,Inspect for Ground trt.,0,
191031N011,8.2,GREEN,No,Yes,Ground,03/15/2007,,Treat (by Ground),0,Methoprene briquet
191031N011,8.2,GREEN,No,Yes,Ground,09/21/2006,0.75,Inspect for Cattail Mosq.,2,
191031N011,8.2,GREEN,No,Yes,Ground,03/09/2006,,Treat (by Ground),0,Methoprene briquet
192230-017,3.1,RED,No,Yes,Aerial,08/19/2024,,Aerial Treatment,,Spinosad granules
192230-017,3.1,RED,No,Yes,Aerial,07/16/2024,,Aerial Treatment,,Methoprene granules
192230-017,3.1,RED,No,Yes,Aerial,06/13/2024,,Aerial Treatment,,Methoprene pellet (M2)
192230-017,3.1,RED,No,Yes,Aerial,05/13/2024,,Aerial Treatment,,Methoprene granules
192230-017,3.1,RED,No,Yes,Aerial,04/15/2024,,Aerial Treatment,,Spinosad granules
192230-017,3.1,RED,No,Yes,Aerial,09/21/2023,0.10,Inspect for Cattail Mosq.,0,
192230-017,3.1,RED,No,Yes,Aerial,08/21/2023,,Aerial Treatment,,Methoprene granules
192230-017,3.1,RED,No,Yes,Aerial,07/17/2023,,Aerial Treatment,,Spinosad granules
192230-017,3.1,RED,No,Yes,Aerial,06/14/2023,,Aerial Treatment,,Methoprene granules
192230-017,3.1,RED,No,Yes,Aerial,05/15/2023,,Aerial Treatment,,Methoprene granules
192230-017,3.1,RED,No,Yes,Aerial,05/05/2023,0.55,Inspect for Aerial Trt.,0.5,
192230-017,3.1,RED,No,Yes,Aerial,05/03/2023,,Aerial Treatment,10,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/25/2023,0.65,Inspect for Aerial Trt.,10,
192230-017,3.1,RED,No,Yes,Aerial,08/29/2022,0.10,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/25/2022,,Aerial Treatment,,Spinosad granules
192230-017,3.1,RED,No,Yes,Aerial,06/14/2022,,Aerial Treatment,,Methoprene granules
192230-017,3.1,RED,No,Yes,Aerial,05/13/2022,,Aerial Treatment,,Methoprene granules
192230-017,3.1,RED,No,Yes,Aerial,05/06/2022,,Aerial Treatment,3,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,05/02/2022,0.85,Inspect for Aerial Trt.,3,
192230-017,3.1,RED,No,Yes,Aerial,08/28/2021,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/13/2021,,Aerial Treatment,,Spinosad granules
192230-017,3.1,RED,No,Yes,Aerial,06/16/2021,,Aerial Treatment,,Methoprene granules
192230-017,3.1,RED,No,Yes,Aerial,05/17/2021,,Aerial Treatment,,Methoprene granules
192230-017,3.1,RED,No,Yes,Aerial,04/23/2021,,Aerial Treatment,1,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/14/2021,1.00,Inspect for Aerial Trt.,1,
192230-017,3.1,RED,No,Yes,Aerial,07/20/2020,,Aerial Treatment,,Spinosad granules
192230-017,3.1,RED,No,Yes,Aerial,06/19/2020,,Aerial Treatment,,Methoprene granules
192230-017,3.1,RED,No,Yes,Aerial,05/19/2020,,Aerial Treatment,,Methoprene granules
192230-017,3.1,RED,No,Yes,Aerial,04/30/2020,0.35,Inspect for Aerial Trt.,4,
192230-017,3.1,RED,No,Yes,Aerial,09/13/2019,0.75,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/18/2019,,Aerial Treatment,,Spinosad granules
192230-017,3.1,RED,No,Yes,Aerial,07/16/2019,0.65,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,06/19/2019,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/20/2019,,Aerial Treatment,0.2,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/13/2019,0.85,Inspect for Aerial Trt.,0.2,
192230-017,3.1,RED,No,Yes,Aerial,05/10/2019,,Aerial Treatment,3,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,05/06/2019,0.65,Inspect for Aerial Trt.,3,
192230-017,3.1,RED,No,Yes,Aerial,04/29/2019,0.85,Inspect for Aerial Trt.,0.5,
192230-017,3.1,RED,No,Yes,Aerial,08/27/2018,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,08/06/2018,0.35,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,06/27/2018,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/26/2018,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/10/2018,0.25,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,08/28/2017,0.95,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/12/2017,,Aerial Treatment,,Spinosad granules
192230-017,3.1,RED,No,Yes,Aerial,06/12/2017,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/12/2017,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/03/2017,0.85,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,04/25/2017,0.75,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,08/30/2016,0.95,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,08/26/2016,0.95,Inspect for Aerial Trt.,2,
192230-017,3.1,RED,No,Yes,Aerial,08/25/2016,,Aerial Treatment,5,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,08/24/2016,0.85,Inspect for Aerial Trt.,5,
192230-017,3.1,RED,No,Yes,Aerial,08/22/2016,0.75,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/18/2016,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/14/2016,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/16/2016,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,04/30/2016,0.75,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,04/21/2016,0.85,Inspect for Aerial Trt.,1,
192230-017,3.1,RED,No,Yes,Aerial,09/19/2015,,Aerial Treatment,10,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,09/18/2015,0.85,Inspect for Aerial Trt.,10,
192230-017,3.1,RED,No,Yes,Aerial,08/24/2015,0.45,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,08/20/2015,,Aerial Treatment,6,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,08/19/2015,0.65,Inspect for Aerial Trt.,6,
192230-017,3.1,RED,No,Yes,Aerial,08/17/2015,0.35,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/14/2015,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/12/2015,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/15/2015,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,04/30/2015,0.75,Inspect for Aerial Trt.,0.4,
192230-017,3.1,RED,No,Yes,Aerial,04/28/2015,,Aerial Treatment,2,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/27/2015,0.85,Inspect for Aerial Trt.,2,
192230-017,3.1,RED,No,Yes,Aerial,09/02/2014,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/23/2014,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/20/2014,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/22/2014,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,04/22/2014,,Aerial Treatment,,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,08/30/2013,0.10,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/25/2013,,Aerial Treatment,0,Spinosad granules
192230-017,3.1,RED,No,Yes,Aerial,06/25/2013,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/21/2013,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/10/2013,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,05/09/2013,0.75,Inspect for Aerial Trt.,0.6,
192230-017,3.1,RED,No,Yes,Aerial,07/25/2012,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,06/15/2012,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/15/2012,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/09/2012,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,05/07/2012,0.85,Inspect for Aerial Trt.,10,
192230-017,3.1,RED,No,Yes,Aerial,05/04/2012,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,05/03/2012,0.75,Inspect for Aerial Trt.,3,
192230-017,3.1,RED,No,Yes,Aerial,04/20/2012,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/19/2012,0.75,Inspect for Aerial Trt.,1.5,
192230-017,3.1,RED,No,Yes,Aerial,04/17/2012,0.75,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,04/04/2012,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/03/2012,0.65,Inspect for Aerial Trt.,0.8,
192230-017,3.1,RED,No,Yes,Aerial,08/31/2011,0.0,Inspect for Cattail Mosq.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/22/2011,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/16/2011,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/17/2011,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/02/2011,0.75,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,04/29/2011,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/25/2011,0.65,Inspect for Aerial Trt.,10,
192230-017,3.1,RED,No,Yes,Aerial,09/17/2010,0.0,Inspect for Cattail Mosq.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/28/2010,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/24/2010,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/21/2010,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/14/2010,0.85,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,05/12/2010,0.85,Inspect for Aerial Trt.,2,
192230-017,3.1,RED,No,Yes,Aerial,04/12/2010,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/09/2010,0.85,Inspect for Aerial Trt.,10,
192230-017,3.1,RED,No,Yes,Aerial,07/22/2009,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/23/2009,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/19/2009,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/01/2009,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/30/2009,0.95,Inspect for Aerial Trt.,0.2,
192230-017,3.1,RED,No,Yes,Aerial,04/22/2009,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/20/2009,0.95,Inspect for Aerial Trt.,25,
192230-017,3.1,RED,No,Yes,Aerial,09/24/2008,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,09/10/2008,0.0,Inspect for Cattail Mosq.,0,
192230-017,3.1,RED,No,Yes,Aerial,08/28/2008,0.10,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/21/2008,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/18/2008,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/14/2008,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/05/2008,0.95,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,04/29/2008,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/21/2008,0.95,Inspect for Aerial Trt.,5,
192230-017,3.1,RED,No,Yes,Aerial,09/28/2007,0.0,Inspect for Cattail Mosq.,0,
192230-017,3.1,RED,No,Yes,Aerial,09/19/2007,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,09/07/2007,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/30/2007,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,07/27/2007,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/05/2007,0.10,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,06/20/2007,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/17/2007,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/10/2007,0.55,Inspect for Aerial Trt.,0.1,
192230-017,3.1,RED,No,Yes,Aerial,04/24/2007,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,04/18/2007,0.75,Inspect for Aerial Trt.,4,
192230-017,3.1,RED,No,Yes,Aerial,09/15/2006,0.0,Inspect for Cattail Mosq.,0,
192230-017,3.1,RED,No,Yes,Aerial,08/25/2006,0.0,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,07/18/2006,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,06/14/2006,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/17/2006,,Aerial Treatment,0,Methoprene pellets
192230-017,3.1,RED,No,Yes,Aerial,05/02/2006,,Aerial Treatment,0,Bti granules
192230-017,3.1,RED,No,Yes,Aerial,05/02/2006,0.85,Inspect for Aerial Trt.,3,
192230-017,3.1,RED,No,Yes,Aerial,05/01/2006,0.85,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,04/24/2006,0.75,Inspect for Aerial Trt.,0,
192230-017,3.1,RED,No,Yes,Aerial,04/20/2006,,Aerial Treatment,0,Bti granules
192230-047,2.1,GREEN,No,Yes,Ground,08/15/2024,0.75,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,07/15/2024,0.85,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,06/14/2024,0.75,Inspect+Treat (Ground),0,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,05/17/2024,0.75,Inspect+Treat (Ground),0,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,04/17/2024,0.75,Inspect+Treat (Ground),0,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,08/15/2023,0.0,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,07/17/2023,0.25,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,06/14/2023,0.10,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,08/19/2022,0.0,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,07/25/2022,0.0,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,06/22/2022,0.10,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,05/24/2022,0.55,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,08/30/2021,0.0,Inspect for Ground trt.,0,
192230-047,2.1,GREEN,No,Yes,Ground,07/26/2021,0.10,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,06/22/2021,0.0,Treat (by Ground),0,Spinosad granules
192230-047,2.1,GREEN,No,Yes,Ground,05/19/2021,0.55,Treat (by Ground),,Spinosad granules
192230-047,2.1,GREEN,No,Yes,Ground,04/19/2021,0.75,Inspect+Treat (Ground),1,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,08/27/2020,0.0,Treat (by Ground),0,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,08/07/2020,0.65,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,07/08/2020,0.65,Treat (by Ground),,Methoprene granules
192230-047,2.1,GREEN,No,Yes,Ground,06/10/2020,0.75,Treat (by Ground),,Spinosad granules
192230-047,2.1,GREEN,No,Yes,Ground,05/12/2020,0.95,Treat (by Ground),,Spinosad granules
